coefficient,value,model_domain,model_version
CPD_HCC253,0.283,CMS-HCC,C28
INS_HCC153,0.235,CMS-HCC,C28
INS_HCC198,0.368,CMS-HCC,C28
INS_D7,0,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM67,1.063,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEF85_89,2.303,CMS-HCC,C28
INS_HCC50,0.203,CMS-HCC,C28
INS_HCC81,0.242,CMS-HCC,C28
INS_HCC197,0.253,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF90_94,1.342,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEM95_GT,1.568,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM75_79,2.485,CMS-HCC,C28
CPD_F45_54,0.377,CMS-HCC,C28
CPD_HCC22,0.25,CMS-HCC,C28
INS_HCC62,0.787,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF85_89,1.342,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEF95_GT,2.303,CMS-HCC,C28
CPA_HCC267,0.353,CMS-HCC,C28
CPA_HCC276,3.841,CMS-HCC,C28
